teacher_uid,college_code,dept_code,name,email,password,age,qualification,experience_years
T203219567,COL-016,EEE,Reyansh Shah,reyansh.shah3987@hiot.edu.in,QjK!QXQkrG,46,Ph.D.,17
T763062100,COL-006,IT,Suresh Banerjee,suresh.banerjee2913@bcoe.edu.in,@1J3z09GaS,55,Ph.D.,17
T408597013,COL-015,EEE,Ritik Patil,ritik.patil1066@djscoe.edu.in,v@2dXy@qU3,39,M.Tech,13
T601509820,COL-001,CIVIL,Suresh Mukherjee,suresh.mukherjee4419@vit.ac.in,y6c$yvlApg,35,M.E.,7
T751750326,COL-001,ECE,Prakash Mehta,prakash.mehta250@vit.ac.in,E9!TPYJPwZ,50,Ph.D.,13
T710865495,COL-014,MECH,Abhishek Das,abhishek.das5853@dscoe.edu.in,QH7r01YJj#,29,Ph.D.,5
T973895348,COL-011,MECH,Abhishek Singh,abhishek.singh776@mwpu.edu.in,mbeUcKZn$i,59,Ph.D.,20
T194132957,COL-014,ECE,Kabir Menon,kabir.menon3153@dscoe.edu.in,uHA#!GN$3f,36,M.Tech,9
T792007223,COL-007,IT,Sanjay Chauhan,sanjay.chauhan4978@tioeat.edu.in,6IoWvtBxD9,46,Ph.D.,17
T653882017,COL-006,CSE,Ayaan Verma,ayaan.verma2602@bcoe.edu.in,@#fTMDytUk,48,Ph.D.,12
T610388544,COL-009,CSE,Rahul Deshmukh,rahul.deshmukh3872@au.edu.in,RcI3t3MoSj,55,Ph.D.,22
T543807515,COL-013,ECE,Vikas Chaudhary,vikas.chaudhary9628@mriot.edu.in,kHKJMaPqHU,56,Ph.D.,31
T701360122,COL-003,MECH,Shyam Pandey,shyam.pandey6882@miot.edu.in,0SUjvcSoxK,29,Post-Doc,5
T711176272,COL-016,MECH,Aryan Gupta,aryan.gupta7728@hiot.edu.in,ST57f6wEP4,34,M.Tech,9
T171709903,COL-005,ECE,Dhruv Verma,dhruv.verma9672@rcoe.edu.in,taG61an1jY,33,M.E.,6
T791063235,COL-003,CIVIL,Akash Sengupta,akash.sengupta7329@miot.edu.in,RSO#mZOxue,40,M.Tech,14
T812121995,COL-003,ECE,Ananya Sengupta,ananya.sengupta9227@miot.edu.in,HDppFV2W03,41,Ph.D.,13
T530079407,COL-007,CIVIL,Suresh Patil,suresh.patil798@tioeat.edu.in,Vtw4fsTQ15,48,Ph.D.,12
T820584610,COL-009,CIVIL,Sai Joshi,sai.joshi7372@au.edu.in,570rLO4mNY,34,Post-Doc,7
T521034436,COL-012,MECH,Khushi Iyer,khushi.iyer5448@niot.edu.in,ZPfhuTXyUv,53,Ph.D.,24
T426156961,COL-011,IT,Nidhi Bose,nidhi.bose1084@mwpu.edu.in,WIbWkvaIF0,48,Ph.D.,18
T875456798,COL-012,CIVIL,Gaurav Joshi,gaurav.joshi2535@niot.edu.in,8HnJYu@n53,34,Post-Doc,6
T597687357,COL-001,CSE,Shreya Thakur,shreya.thakur7056@vit.ac.in,0E!6nQsUkG,42,Ph.D.,10
T184340271,COL-012,EEE,Swati Patil,swati.patil1311@niot.edu.in,e4g32fgq8B,57,Ph.D.,23
T653915007,COL-001,IT,Ananya Gupta,ananya.gupta1327@vit.ac.in,xagRm7$Tj!,54,Ph.D.,26
T205779610,COL-003,CIVIL,Vivek Desai,vivek.desai9771@miot.edu.in,fGuVeVwA3y,60,Ph.D.,35
T187824646,COL-007,ECE,Arjun Yadav,arjun.yadav701@tioeat.edu.in,zgIq!y1j2D,51,Ph.D.,15
T908186529,COL-008,CIVIL,Sanjay Kulkarni,sanjay.kulkarni6669@ku.edu.in,oYDAb0maud,40,M.E.,11
T166284782,COL-007,CIVIL,Arjun Chaudhary,arjun.chaudhary9518@tioeat.edu.in,IMR!zemyQR,29,M.Tech,3
T146877086,COL-001,ECE,Karthik Sharma,karthik.sharma6479@vit.ac.in,KKCeHJqtnt,32,Ph.D.,4
T999621474,COL-013,CSE,Rohan Deshmukh,rohan.deshmukh5174@mriot.edu.in,peBMdmVn#4,33,Post-Doc,8
T788993806,COL-014,CIVIL,Kabir Verma,kabir.verma5173@dscoe.edu.in,$gcrGCK5XM,58,Ph.D.,27
T483031790,COL-015,ECE,Arjun Kumar,arjun.kumar3740@djscoe.edu.in,8itvLg!Ozh,57,Ph.D.,27
T907124935,COL-011,EEE,Abhinav Rao,abhinav.rao5554@mwpu.edu.in,ZWaK52#OdY,60,Ph.D.,29
T562697027,COL-007,ECE,Aarav Mishra,aarav.mishra4564@tioeat.edu.in,T69Dew#PRz,43,Ph.D.,12
T329068210,COL-003,MECH,Rahul Mukherjee,rahul.mukherjee1695@miot.edu.in,xkzfheryFX,39,Ph.D.,10
T440819096,COL-012,CIVIL,Manoj Mehta,manoj.mehta5945@niot.edu.in,WQFbngwpAf,41,Ph.D.,17
T786788885,COL-015,EEE,Sonia Bose,sonia.bose9316@djscoe.edu.in,yAl5hEs8Jc,33,Ph.D.,4
T137363499,COL-014,IT,Kabir Deshmukh,kabir.deshmukh1388@dscoe.edu.in,Pn$4X9ajkH,38,M.E.,8
T212177993,COL-006,ECE,Anjali Pandey,anjali.pandey116@bcoe.edu.in,PKltfZx8wh,58,Ph.D.,21
T885842552,COL-011,CSE,Raj Verma,raj.verma539@mwpu.edu.in,4o0NHciJv3,51,Ph.D.,14
T710400736,COL-009,CIVIL,Raj Rajput,raj.rajput1423@au.edu.in,W2CZAGEdTc,33,Ph.D.,6
T716198446,COL-006,CIVIL,Suresh Chaudhary,suresh.chaudhary9169@bcoe.edu.in,8sWi6pYRLO,54,Ph.D.,26
T354499926,COL-002,IT,Anjali Mishra,anjali.mishra3499@srmist.edu.in,Ik5Cve5e$M,56,Ph.D.,30
T541849518,COL-006,MECH,Ishaan Sengupta,ishaan.sengupta4596@bcoe.edu.in,!ONlhxi6!!,31,M.E.,3
T643254306,COL-001,IT,Sanjay Chatterjee,sanjay.chatterjee6729@vit.ac.in,My4pMI360H,48,Ph.D.,21
T548395226,COL-002,EEE,Vivaan Kumar,vivaan.kumar5478@srmist.edu.in,MfiyN6rDcx,47,Ph.D.,16
T405588014,COL-009,ECE,Dev Kumar,dev.kumar9686@au.edu.in,eguiohQDCc,33,M.E.,7
T501723921,COL-003,ECE,Ishaan Chaudhary,ishaan.chaudhary9265@miot.edu.in,$$A4tf2#zE,30,M.Tech,4
T570589463,COL-015,EEE,Rohan Mehta,rohan.mehta2851@djscoe.edu.in,fRLSQAlgWL,40,M.Tech,9
T873169548,COL-005,CIVIL,Yash Bose,yash.bose7351@rcoe.edu.in,P64@2zgeli,42,Ph.D.,18
T956139060,COL-012,CIVIL,Shreya Banerjee,shreya.banerjee1256@niot.edu.in,paPl$M7zz5,39,M.E.,10
